company_size,annual_revenue,industry_sector,fleet_size,vehicle_types,avg_vehicle_age,maintenance_approach,monthly_downtime_incidents,cost_per_downtime,downtime_causes,connected_systems,predictive_maintenance_familiarity,main_adoption_barrier,adoption_likelihood_12mo,budget_pct_predictive,adoption_driver,downtime_reduction_justify,dashboard_features,api_integration_importance,sustainability_tracking_method,annual_co2_savings_target,interest_auto_sustain_analytics,business_priorities,cost_reliability_preference,fleet_performance_measures,interested_in_pilot
51–200,20M–100M,Other,101–250,"Delivery bikes,Vans,Electric vehicles (EVs),Forklifts",2–5,Preventive,6,2541,Battery/charging (for EVs),"TMS,ERP",Somewhat familiar,Lack of internal skills,Unlikely,26–50%,Uptime improvement,21–30%,"Parts availability,Cost–benefit analysis",Critical,In-house software,<2%,None,"Customer satisfaction,Safety,Sustainability","Higher cost, maximum reliability","Repair costs,Emission metrics",Yes
51–200,>100M,Logistics provider,25–100,"Trucks,Delivery bikes,Forklifts",6–10,Predictive,5,870,"Accidents,Tire issues,Battery/charging (for EVs)","ERP,WMS,TMS",Somewhat familiar,Other,Likely,10–25%,Sustainability goals,21–30%,"Fuel efficiency analytics,Real-time health scores",Moderately important,3rd party tool,<2%,High,"Regulatory compliance,Customer satisfaction,Safety","Higher cost, maximum reliability",Downtime hours,Maybe
201–500,20M–100M,Logistics provider,<25,"Electric vehicles (EVs),Trucks,Delivery bikes",2–5,Preventive,5,1838,"Battery/charging (for EVs),Electrical issues","TMS,ERP,None",Somewhat familiar,Data security concerns,Likely,26–50%,Sustainability goals,<10%,"Cost–benefit analysis,Real-time health scores",Critical,Not tracked,2–5%,Essential,"Customer satisfaction,Regulatory compliance,Uptime/reliability","Higher cost, maximum reliability","Fuel efficiency,Downtime hours",Yes
501–1000,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks,Vans",6–10,Predictive,2,1455,"Accidents,Battery/charging (for EVs)",ERP,Very familiar,Data security concerns,Likely,10–25%,Regulatory compliance,>30%,Parts availability,Critical,3rd party tool,2–5%,Medium,"Safety,Regulatory compliance,Uptime/reliability","Lower cost, moderate reliability","Repair costs,Downtime hours,Delivery delays,Fuel efficiency",Maybe
51–200,20M–100M,Manufacturing,>500,Delivery bikes,2–5,Preventive,3,943,Battery/charging (for EVs),"TMS,WMS,None",Very familiar,Other,Likely,10–25%,Cost savings,21–30%,"Fuel efficiency analytics,Sustainability/CO₂ reports",Very important,In-house software,>10%,High,"Regulatory compliance,Safety,Sustainability","Moderate cost, high reliability",Repair costs,Yes
201–500,20M–100M,Other,101–250,"Forklifts,Electric vehicles (EVs)",2–5,Preventive,9,1462,"Mechanical failure,Battery/charging (for EVs),Accidents",TMS,Very familiar,Cost,Neutral,10–25%,Sustainability goals,>30%,Cost–benefit analysis,Very important,In-house software,<2%,Medium,"Regulatory compliance,Sustainability,Customer satisfaction","Moderate cost, high reliability",Repair costs,Yes
201–500,1M–5M,Logistics provider,101–250,Trucks,2–5,Preventive,0,1437,"Accidents,Tire issues","TMS,None,WMS",Very familiar,Data security concerns,Unlikely,26–50%,Regulatory compliance,>30%,"Predictive alerts,Cost–benefit analysis",Very important,Not tracked,>10%,Essential,"Sustainability,Safety,Regulatory compliance","Higher cost, maximum reliability","Emission metrics,Delivery delays,Downtime hours",Yes
<50,20M–100M,Manufacturing,101–250,Forklifts,6–10,Preventive,1,1034,"Tire issues,Battery/charging (for EVs)","ERP,TMS,WMS",Currently using,Not a priority,Unlikely,10–25%,Competitive advantage,>30%,"Predictive alerts,Sustainability/CO₂ reports,Real-time health scores",Slightly important,Manual spreadsheet,<2%,None,"Regulatory compliance,Uptime/reliability,Safety","Moderate cost, high reliability","Emission metrics,Delivery delays",No
201–500,<1M,Logistics provider,25–100,"Forklifts,Delivery bikes",<2,Predictive,3,1414,"Accidents,Mechanical failure,Battery/charging (for EVs)",TMS,Somewhat familiar,Complexity,Likely,<10%,Regulatory compliance,>30%,Cost–benefit analysis,Not important,Not tracked,>10%,High,"Uptime/reliability,Regulatory compliance,Customer satisfaction","Lower cost, moderate reliability","Fuel efficiency,Delivery delays,Repair costs,Downtime hours",Yes
51–200,5M–20M,Retail/E-commerce,25–100,Electric vehicles (EVs),6–10,Preventive,6,1782,Battery/charging (for EVs),TMS,Currently using,Other,Unlikely,10–25%,Uptime improvement,>30%,"Cost–benefit analysis,Maintenance scheduling,Fuel efficiency analytics",Moderately important,In-house software,2–5%,Essential,"Sustainability,Regulatory compliance,Cost reduction","Moderate cost, high reliability","Downtime hours,Repair costs",Yes
<50,1M–5M,Retail/E-commerce,101–250,Forklifts,2–5,Preventive,1,1456,"Electrical issues,Battery/charging (for EVs),Tire issues","None,TMS,ERP",Heard of it,Other,Unlikely,<10%,Uptime improvement,21–30%,"Sustainability/CO₂ reports,Maintenance scheduling,Predictive alerts",Very important,In-house software,6–10%,Low,"Cost reduction,Regulatory compliance,Safety","Higher cost, maximum reliability","Fuel efficiency,Emission metrics",Yes
>1000,1M–5M,Other,<25,"Forklifts,Vans",6–10,Reactive,5,990,"Accidents,Tire issues",None,Not familiar,Other,Neutral,10–25%,Competitive advantage,21–30%,"Maintenance scheduling,Predictive alerts",Moderately important,Not tracked,2–5%,Essential,"Sustainability,Regulatory compliance,Cost reduction","Higher cost, maximum reliability",Repair costs,Yes
>1000,<1M,Manufacturing,25–100,"Forklifts,Delivery bikes",6–10,Preventive,3,962,"Electrical issues,Mechanical failure",None,Somewhat familiar,Not a priority,Very unlikely,>50%,Cost savings,21–30%,"Predictive alerts,Sustainability/CO₂ reports,Cost–benefit analysis",Moderately important,Manual spreadsheet,6–10%,Essential,"Customer satisfaction,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Downtime hours,Repair costs,Delivery delays",No
501–1000,5M–20M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks,Vans,Forklifts",2–5,Predictive,5,1156,Mechanical failure,"WMS,ERP",Currently using,Other,Unlikely,10–25%,Uptime improvement,21–30%,"Real-time health scores,Predictive alerts",Slightly important,In-house software,6–10%,Essential,"Customer satisfaction,Cost reduction,Safety","Higher cost, maximum reliability","Delivery delays,Fuel efficiency",Yes
51–200,1M–5M,Logistics provider,25–100,"Forklifts,Trucks,Vans",6–10,Preventive,7,1756,"Accidents,Mechanical failure",None,Somewhat familiar,Not a priority,Unlikely,10–25%,Uptime improvement,<10%,Predictive alerts,Moderately important,Manual spreadsheet,<2%,Medium,"Regulatory compliance,Uptime/reliability,Cost reduction","Lower cost, moderate reliability","Fuel efficiency,Downtime hours,Emission metrics",Yes
<50,5M–20M,Logistics provider,>500,"Forklifts,Electric vehicles (EVs)",2–5,Preventive,5,823,"Mechanical failure,Accidents,Battery/charging (for EVs)","WMS,TMS",Heard of it,Lack of internal skills,Very likely,10–25%,Regulatory compliance,10–20%,"Predictive alerts,Real-time health scores",Slightly important,3rd party tool,<2%,Medium,"Customer satisfaction,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Downtime hours,Fuel efficiency",No
201–500,<1M,Logistics provider,<25,"Vans,Forklifts,Electric vehicles (EVs)",6–10,Predictive,6,1396,"Electrical issues,Accidents,Mechanical failure",ERP,Somewhat familiar,Cost,Unlikely,26–50%,Regulatory compliance,<10%,"Predictive alerts,Fuel efficiency analytics,Cost–benefit analysis",Moderately important,Manual spreadsheet,>10%,High,"Sustainability,Safety,Regulatory compliance","Moderate cost, high reliability",Repair costs,Maybe
51–200,1M–5M,Logistics provider,25–100,"Trucks,Forklifts,Delivery bikes,Vans",2–5,Preventive,1,419,Accidents,"WMS,TMS,ERP",Somewhat familiar,Other,Very likely,>50%,Regulatory compliance,10–20%,"Maintenance scheduling,Fuel efficiency analytics,Real-time health scores",Moderately important,Manual spreadsheet,2–5%,Medium,"Sustainability,Regulatory compliance,Customer satisfaction","Lower cost, moderate reliability",Delivery delays,No
<50,5M–20M,Food & Beverage,<25,Trucks,2–5,Preventive,2,1497,"Electrical issues,Battery/charging (for EVs)",None,Heard of it,Cost,Very unlikely,10–25%,Sustainability goals,<10%,"Parts availability,Fuel efficiency analytics",Very important,Not tracked,>10%,None,"Cost reduction,Regulatory compliance,Uptime/reliability","Lower cost, moderate reliability","Delivery delays,Fuel efficiency,Downtime hours,Repair costs",Maybe
201–500,20M–100M,Retail/E-commerce,>500,"Trucks,Forklifts,Electric vehicles (EVs),Delivery bikes",6–10,Preventive,1,1576,Tire issues,"None,TMS",Very familiar,Other,Very likely,10–25%,Competitive advantage,>30%,"Sustainability/CO₂ reports,Real-time health scores,Predictive alerts",Slightly important,In-house software,6–10%,Essential,"Sustainability,Customer satisfaction,Cost reduction","Higher cost, maximum reliability","Downtime hours,Repair costs",Yes
<50,1M–5M,Retail/E-commerce,<25,"Electric vehicles (EVs),Forklifts",6–10,Preventive,5,2214,Electrical issues,"TMS,ERP",Currently using,Not a priority,Likely,10–25%,Cost savings,21–30%,Predictive alerts,Critical,Manual spreadsheet,2–5%,High,"Uptime/reliability,Cost reduction,Safety","Moderate cost, high reliability","Delivery delays,Repair costs,Fuel efficiency,Downtime hours",Maybe
>1000,5M–20M,Logistics provider,25–100,"Forklifts,Vans,Trucks",2–5,Preventive,2,1663,"Accidents,Electrical issues,Tire issues",WMS,Very familiar,Complexity,Likely,10–25%,Regulatory compliance,10–20%,"Cost–benefit analysis,Fuel efficiency analytics,Predictive alerts",Very important,3rd party tool,<2%,Low,"Sustainability,Cost reduction,Customer satisfaction","Higher cost, maximum reliability",Downtime hours,No
51–200,20M–100M,Food & Beverage,101–250,Trucks,6–10,Preventive,2,999,"Mechanical failure,Electrical issues","ERP,None,TMS",Heard of it,Cost,Very likely,10–25%,Cost savings,21–30%,"Sustainability/CO₂ reports,Cost–benefit analysis",Slightly important,3rd party tool,>10%,None,"Regulatory compliance,Customer satisfaction,Uptime/reliability","Lower cost, moderate reliability","Repair costs,Delivery delays",No
201–500,5M–20M,Manufacturing,101–250,"Vans,Trucks,Delivery bikes",2–5,Preventive,2,433,Tire issues,ERP,Heard of it,Cost,Likely,10–25%,Regulatory compliance,10–20%,Cost–benefit analysis,Moderately important,In-house software,6–10%,High,"Cost reduction,Customer satisfaction,Safety","Moderate cost, high reliability","Repair costs,Delivery delays",No
51–200,1M–5M,Logistics provider,25–100,"Trucks,Vans,Forklifts,Delivery bikes",2–5,Predictive,2,1457,"Electrical issues,Battery/charging (for EVs),Mechanical failure","None,WMS,ERP",Somewhat familiar,Not a priority,Very likely,10–25%,Uptime improvement,>30%,Maintenance scheduling,Very important,Not tracked,<2%,Essential,"Regulatory compliance,Uptime/reliability,Customer satisfaction","Moderate cost, high reliability","Downtime hours,Delivery delays,Emission metrics",Yes
201–500,<1M,Manufacturing,25–100,"Vans,Forklifts,Trucks",6–10,Reactive,2,1036,"Accidents,Electrical issues","ERP,TMS",Somewhat familiar,Cost,Likely,10–25%,Cost savings,10–20%,Cost–benefit analysis,Not important,Not tracked,6–10%,Medium,"Regulatory compliance,Customer satisfaction,Cost reduction","Higher cost, maximum reliability","Delivery delays,Repair costs,Fuel efficiency",Yes
201–500,20M–100M,Retail/E-commerce,25–100,"Trucks,Delivery bikes,Vans",2–5,Preventive,2,1367,"Mechanical failure,Battery/charging (for EVs),Electrical issues",TMS,Not familiar,Lack of internal skills,Likely,<10%,Sustainability goals,10–20%,"Cost–benefit analysis,Real-time health scores,Fuel efficiency analytics",Critical,Manual spreadsheet,<2%,None,"Customer satisfaction,Cost reduction,Safety","Moderate cost, high reliability",Downtime hours,No
51–200,<1M,Logistics provider,25–100,"Forklifts,Vans,Electric vehicles (EVs)",2–5,Reactive,6,840,Accidents,"WMS,ERP",Very familiar,Not a priority,Neutral,>50%,Regulatory compliance,>30%,"Fuel efficiency analytics,Parts availability",Moderately important,3rd party tool,>10%,High,"Cost reduction,Customer satisfaction,Sustainability","Moderate cost, high reliability","Emission metrics,Fuel efficiency,Repair costs,Downtime hours",Yes
>1000,20M–100M,Retail/E-commerce,25–100,"Electric vehicles (EVs),Forklifts,Trucks",6–10,Predictive,0,1113,Mechanical failure,"TMS,ERP",Somewhat familiar,Cost,Very likely,10–25%,Competitive advantage,21–30%,"Cost–benefit analysis,Sustainability/CO₂ reports,Real-time health scores",Very important,Manual spreadsheet,<2%,Medium,"Cost reduction,Uptime/reliability,Safety","Lower cost, moderate reliability","Repair costs,Fuel efficiency",No
501–1000,5M–20M,Retail/E-commerce,25–100,"Trucks,Vans,Electric vehicles (EVs)",2–5,Reactive,1,350,"Electrical issues,Accidents,Mechanical failure","TMS,ERP,WMS",Very familiar,Cost,Likely,10–25%,Uptime improvement,>30%,"Fuel efficiency analytics,Parts availability",Critical,Manual spreadsheet,<2%,Low,"Customer satisfaction,Safety,Uptime/reliability","Higher cost, maximum reliability","Downtime hours,Fuel efficiency,Repair costs",Maybe
>1000,20M–100M,Logistics provider,25–100,"Vans,Electric vehicles (EVs),Delivery bikes",6–10,Preventive,4,677,"Tire issues,Electrical issues,Mechanical failure","None,TMS,WMS",Currently using,Cost,Unlikely,26–50%,Regulatory compliance,21–30%,"Cost–benefit analysis,Sustainability/CO₂ reports",Very important,Not tracked,<2%,Medium,"Cost reduction,Customer satisfaction,Regulatory compliance","Lower cost, moderate reliability","Emission metrics,Delivery delays,Downtime hours",Yes
>1000,20M–100M,Other,25–100,"Electric vehicles (EVs),Vans,Forklifts",2–5,Reactive,6,606,"Electrical issues,Tire issues,Accidents","ERP,None,WMS",Not familiar,Not a priority,Likely,10–25%,Cost savings,10–20%,"Maintenance scheduling,Parts availability,Real-time health scores",Critical,In-house software,<2%,Medium,"Regulatory compliance,Uptime/reliability,Safety","Lower cost, moderate reliability",Delivery delays,Yes
201–500,>100M,Food & Beverage,101–250,"Vans,Trucks",<2,Preventive,3,1636,"Accidents,Tire issues","None,TMS,WMS",Currently using,Complexity,Very likely,10–25%,Regulatory compliance,21–30%,Cost–benefit analysis,Critical,Not tracked,2–5%,Medium,"Safety,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Delivery delays,Repair costs,Fuel efficiency,Downtime hours",Yes
>1000,1M–5M,Manufacturing,>500,Delivery bikes,2–5,Predictive,3,786,"Battery/charging (for EVs),Electrical issues",TMS,Very familiar,Data security concerns,Likely,26–50%,Uptime improvement,<10%,"Cost–benefit analysis,Real-time health scores",Critical,Manual spreadsheet,6–10%,Essential,"Regulatory compliance,Cost reduction,Uptime/reliability","Moderate cost, high reliability","Downtime hours,Emission metrics",Yes
<50,20M–100M,Retail/E-commerce,101–250,"Forklifts,Electric vehicles (EVs),Delivery bikes",6–10,Preventive,3,1889,Mechanical failure,"WMS,None",Somewhat familiar,Other,Very likely,<10%,Competitive advantage,10–20%,"Cost–benefit analysis,Parts availability",Critical,Manual spreadsheet,6–10%,Medium,"Uptime/reliability,Regulatory compliance,Sustainability","Lower cost, moderate reliability","Delivery delays,Downtime hours,Fuel efficiency",Yes
51–200,5M–20M,Logistics provider,<25,"Vans,Electric vehicles (EVs),Forklifts",6–10,Preventive,4,791,"Electrical issues,Tire issues,Accidents","TMS,None",Somewhat familiar,Cost,Unlikely,10–25%,Competitive advantage,10–20%,Real-time health scores,Moderately important,In-house software,6–10%,Essential,"Uptime/reliability,Customer satisfaction,Cost reduction","Lower cost, moderate reliability",Emission metrics,Yes
<50,5M–20M,Manufacturing,<25,"Vans,Trucks,Electric vehicles (EVs),Forklifts",<2,Preventive,1,2248,Electrical issues,TMS,Somewhat familiar,Data security concerns,Neutral,<10%,Competitive advantage,>30%,"Cost–benefit analysis,Parts availability",Moderately important,In-house software,2–5%,Essential,"Cost reduction,Uptime/reliability,Sustainability","Higher cost, maximum reliability","Repair costs,Fuel efficiency,Delivery delays",Yes
51–200,5M–20M,Retail/E-commerce,>500,"Delivery bikes,Electric vehicles (EVs),Vans",<2,Preventive,4,300,"Mechanical failure,Battery/charging (for EVs)",WMS,Heard of it,Data security concerns,Neutral,10–25%,Uptime improvement,21–30%,"Predictive alerts,Maintenance scheduling",Moderately important,Not tracked,2–5%,High,"Sustainability,Customer satisfaction,Safety","Lower cost, moderate reliability","Downtime hours,Fuel efficiency,Delivery delays,Repair costs",Yes
51–200,20M–100M,Logistics provider,25–100,"Electric vehicles (EVs),Trucks,Vans,Delivery bikes",>10,Predictive,4,1412,"Tire issues,Battery/charging (for EVs),Electrical issues","None,ERP",Somewhat familiar,Cost,Unlikely,<10%,Regulatory compliance,10–20%,Maintenance scheduling,Critical,3rd party tool,>10%,None,"Safety,Regulatory compliance,Cost reduction","Lower cost, moderate reliability","Fuel efficiency,Emission metrics,Downtime hours",Yes
51–200,>100M,Retail/E-commerce,<25,Electric vehicles (EVs),<2,Preventive,4,1219,Tire issues,WMS,Not familiar,Cost,Neutral,26–50%,Uptime improvement,10–20%,"Real-time health scores,Cost–benefit analysis,Parts availability",Moderately important,3rd party tool,2–5%,Essential,"Cost reduction,Uptime/reliability,Regulatory compliance","Moderate cost, high reliability","Emission metrics,Repair costs,Delivery delays",Maybe
501–1000,20M–100M,Food & Beverage,101–250,Delivery bikes,6–10,Preventive,1,594,"Electrical issues,Tire issues,Mechanical failure",None,Somewhat familiar,Other,Neutral,<10%,Uptime improvement,>30%,"Real-time health scores,Predictive alerts,Cost–benefit analysis",Slightly important,3rd party tool,<2%,Essential,"Regulatory compliance,Cost reduction,Safety","Higher cost, maximum reliability","Downtime hours,Fuel efficiency,Repair costs,Emission metrics",Maybe
51–200,5M–20M,Retail/E-commerce,101–250,Delivery bikes,2–5,Reactive,2,925,"Tire issues,Electrical issues","TMS,ERP",Heard of it,Data security concerns,Unlikely,26–50%,Regulatory compliance,<10%,"Predictive alerts,Real-time health scores,Maintenance scheduling",Very important,Not tracked,2–5%,Medium,"Cost reduction,Regulatory compliance,Customer satisfaction","Lower cost, moderate reliability","Emission metrics,Delivery delays,Fuel efficiency,Downtime hours",Yes
